A,C,D,E,F,G,H,K,P,Q,S,T
ὡς,ὡς,ὡς,ὡς,ὡς,ὡς,ὡς,ὡς,ὡς,ὡς,ὡς,ὡς
οὐκ,οὐκ,οὐκ,οὐκ,οὐκ,οὐκ,οὐκ,οὐκ,οὐκ,οὐκ,οὐκ,οὐκ
οἶδε,οἶδε,οἶδε,οἶδε,οἶδε,οἶδε,οἶδε,οἶδε,οἶδε,οἶδε,οἶδε,οἶδε
γὰρ,γὰρ,γὰρ,γὰρ,γὰρ,γὰρ,γὰρ,γὰρ,γὰρ,γὰρ,γὰρ,γὰρ
διὰ,διὰ,διὰ,διὰ,διὰ,διὰ,διὰ,διὰ,διὰ,διὰ,διὰ,διὰ
τῶν,τῶν,τῶν,τῶν,τῶν,τῶν,τῶν,τῶν,τῶν,τῶν,τῶν,τῶν
τοιούτων,τοιούτων,τοιούτων,τοιούτων,τοιούτων,τοιούτων,τοιούτων,τοιούτων,τοιούτων,τοιούτων,τοιούτων,τοιούτων
καθαίρει,καθαίρει,καθαίρει,καθαίρει,καθαίρει,καθαίρει,καθαίρει,καθαίρει,καθαίρει,καθαίρει,καθεαυτὸν,καθαίρει
αὐτὸν,αὐτὸν,αὐτὸν,αὐτὸν,αὐτὸν,αὐτὸν,αὐτὸν,αὐτὸν,αὐτὸν,αὐτὸν,,αὐτὸν
ὁ,ὁ,ὁ,ὁ,ὁ,ὁ,ὁ,ὁ,ὁ,ὁ,ὁ,ὁ
θεός,θεός,θεός,θεός,θεός,θεός,θεός,θεός,θεός,θεός,θεός,θεός
οὖν,οὖν,οὖν,,οὖν,,οὖν,,οὖν,οὖν,οὖν,οὖν
τῷ,τῷ,τῷ,τῷ,τῷ,τῷ,τῷ,τῶν,τῷ,τῷ,τῷ,τῷ
ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν
ἀπιστεία,ἀπιστίᾳ,ἀπιστεία,ἀπιστίᾳ,ἀπιστίᾳ,ἀπιστίᾳ,ἀπιστίᾳ,ἀπιστίᾳ,ἀπιστεία,ἀπιστίᾳ,ἀπιστίᾳ,ἀπιστίᾳ
τὸν,τὸν,τὸν,τὸν,τὸν,τὸν,τὸν,τὸν,τὸν,τὸν,τὸν,τὸν
βίον,βίον,βίον,βίον,βίον,βίον,βίον,βίον,βίον,βίον,βίον,βίον
κατακλείσαντι,κατακλείσαντι,κατακλείσαντι,κατακλύσαντι,καταλύσαντι,κατακλύσαντι,κατακλείσαντι,κατακλείσαντι,κατακλείσαντι,καταλύσαντι,κατακλείσαντι,κατακλείσαντι
οὔτε,οὔτε,οὔτε,οὔτε,οὔτε,οὔτε,οὔτε,οὔτε,οὔτε,οὔτε,οὔτε,οὔτε
ἐνταῦθα,ἐνταῦθα,ἐνταῦθα,ἐνταῦθα,ἐνταῦθα,ἐνταῦθα,ἐνταῦθα,ἐνταῦθα,ἐνταῦθα,ἐνταῦθα,ἐνταῦθα,ἐνταῦθα
οὔτε,οὔτε,οὔτε,οὔτε,οὔτε,οὔτε,οὔτε,οὔτε,οὔτε,οὔτε,οὔτε,οὔτε
ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν
τῷ,τῷ,τῷ,τῷ,τῷ,τῷ,τῷ,τῷ,τῷ,τῷ,τῷ,τῷ
μέλλοντι,μέλλοντι,μέλλοντι,μέλλοντι,μέλλοντι,μέλλοντι,μέλλοντι,μέλλοντι,μέλλοντι,μέλλοντι,μέλλοντι,μέλλοντι
ἀφεθήσεται,ἀφεθήσεται,ἀφεθήσεται,ἀφεθήσεται,ἀφεθήσεται,ἀφεθήσεται,ἀφεθήσεται,ἀφεθήσεται,ἀφεθήσεται,ἀφεθήσεται,ἀφεθήσεται,ἀφεθήσεται
τῆς,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς
ἀπιστίας,ἀπιστίας,ἀπιστίας,ἀπιστίας,ἀπιστίας,ἀπιστίας,ἀπιστίας,ἀπιστίας,ἀπιστίας,ἀπιστίας,ἀπιστίας,ἀπιστίας
καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ
ἀθεΐας,ἀθεΐας,ἀθεΐας,ἀθεΐας,ἀθεΐας,ἀθεΐας,ἀθεΐας,ἀθεΐας,ἀθεΐας,ἀθεΐας,ἀθεΐας,ἀθεΐας
ἡ,ἡ,ἡ,ἡ,ἡ,ἡ,ἡ,ἡ,ἡ,ἡ,ἡ,ἡ
ἁμαρτία.,ἁμαρτία.,ἁμαρτία.,ἁμαρτία.,ἁμαρτία.,ἁμαρτία.,ἁμαρτία.,ἁμαρτία.,ἁμαρτία.,ἁμαρτία.,ἁμαρτία.,ἁμαρτία.
