A,B,C,D,E,E (a.c.),F,G,H,K,P,P (a.c.),Q,Q (a.c.),S,T,T (a.c.)
αὐτόθι,#LACUNA#,αὐτόθι,αὐτόθι,αὐτόθεν,αὐτόθεν,αὐτόθι,#LACUNA#,αὐτόθι,αὐτόθεν,αὐτόθι,αὐτόθι,αὐτόθεν,αὐτόθεν,αὐτόθι,αὐτόθι,αὐτόθι
ἔχει,#LACUNA#,ἔχει,ἔχει,ἔχει,ἔχει,ἔχει,#LACUNA#,ἔχει,ἔχει,ἔχειν,ἔχειν,ἔχει,ἔχει,ἔχει,ἔχει,ἔχει
τὴν,#LACUNA#,τὴν,τὴν,τὴν,τὴν,τὴν,#LACUNA#,τὴν,τὴν,τὴν,τὴν,τὴν,τὴν,τὴν,τὴν,τὴν
λύσιν·,#LACUNA#,λύσιν·,λύσιν·,λύσιν·,λύσιν·,λύσιν·,#LACUNA#,λύσιν·,λύσιν·,λύσιν·,λύσιν·,λύσιν·,λύσιν·,λύσιν·,λύσιν·,λύσιν·
ὁ,#LACUNA#,ὁ,ὁ,ὁ,ὁ,ὁ,#LACUNA#,ὁ,ὁ,ὁ,ὁ,ὁ,ὁ,ὁ,ὁ,ὁ
δὲ,#LACUNA#,δὲ,δὲ,δὲ,δὲ,δὲ,#LACUNA#,δὲ,δὲ,δὲ,δὲ,δὲ,δὲ,δὲ,δὲ,δὲ
δεύτερος,#LACUNA#,δεύτερος,δεύτερος,δεύτερος,δεύτερος,δεύτερος,#LACUNA#,δεύτερος,δεύτερος,δεύτερος,δεύτερος,δεύτερος,δεύτερος,δεύτερος,δεύτερος,δεύτερος
ἐστὶν,#LACUNA#,ἐστὶν,ἐστὶν,ἐστὶν,ἐστὶν,ἐστὶν,#LACUNA#,ἐστὶν,ἐστὶν,ἐστὶν,ἐστὶν,ἐστὶν,ἐστὶν,ἐστὶν,ἐστὶν,ἐστὶν
οὗτος·,#LACUNA#,οὗτος·,οὗτος·,οὗτος·,οὗτος·,οὗτος·,#LACUNA#,οὗτος·,οὗτος·,οὗτος·,οὗτος·,οὗτος·,οὗτος·,οὗτος·,οὗτος·,οὗτος·
ὅτάν,#LACUNA#,ὅτάν,ὅτάν,ὅτάν,ὅτάν,ὅτάν,#LACUNA#,ὅτάν,ὅτάν,ὅτάν,ὅτάν,ὅτάν,ὅτάν,ὅτάν,ὅτάν,ὅτάν
τις,#LACUNA#,τις,τις,τις,τις,,#LACUNA#,τις,τις,τις,τις,τις,τις,τις,τις,τις
ἐν,#LACUNA#,ἐν,ἐν,ἐν,ἐν,ἐν,#LACUNA#,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν
ἁμαρτίαις,#LACUNA#,ἁμαρτίαις,ἁμαρτίαις,ἁμαρτίαις,ἁμαρτίαις,ἁμαρτίαις,#LACUNA#,ἁμαρτίαις,ἁμαρτίαις,ἁμαρτίαις,ἁμαρτίαις,ἁμαρτίαις,ἁμαρτίαις,ἁμαρτίαις,ἁμαρτίαις,ἁμαρτίαις
"ἐνεχόμενος,",#LACUNA#,"ἐνεχόμενος,","ἐνεχόμενος,","ἐνεχόμενος,","ἐνεχόμενος,","ἐνεχόμενος,",#LACUNA#,"ἐνεχόμενος,","ἐνεχόμενος,","ἐνεχόμενος,","ἐνεχόμενος,","ἐνεχόμενος,","ἐνεχόμενος,","ἐνεχόμενος,","ἐνεχόμενος,","ἐνεχόμενος,"
ἀκούων,#LACUNA#,ἀκούων,ἀκούων,ἀκούων,ἀκούων,ἀκούων,#LACUNA#,ἀκούων,ἀκούων,ἀκούων,ἀκούων,ἀκούων,ἀκούων,ἀκούων,ἀκούων,ἀκούων
δὲ,#LACUNA#,δὲ,δὲ,δὲ,δὲ,δὲ,#LACUNA#,δὲ,δὲ,δὲ,δὲ,δὲ,δὲ,δὲ,δὲ,δὲ
τοῦ,#LACUNA#,τοῦ,τοῦ,τοῦ,τοῦ,τοῦ,#LACUNA#,τοῦ,τοῦ,τοῦ,τοῦ,τοῦ,τοῦ,τοῦ,τοῦ,τοῦ
κυρίου,#LACUNA#,κυρίου,κυρίου,κυρίου,κυρίου,κυρίου,#LACUNA#,κυρίου,κυρίου,κυρίου,κυρίου,κυρίου,κυρίου,κυρίου,κυρίου,κυρίου
λέγοντος,#LACUNA#,λέγοντος,λέγοντος,λέγοντος,λέγοντος,λέγοντος,#LACUNA#,λέγοντος,λέγοντος,λέγοντος,λέγοντος,λέγοντος,λέγοντος,λέγοντος,λέγοντος,λέγοντος
μὴ,#LACUNA#,μὴ,μὴ,μὴ,μὴ,μὴ,#LACUNA#,μὴ,μὴ,μὴ,μὴ,μὴ,μὴ,μὴ,μὴ,μὴ
,#LACUNA#,κρίνετε,,κρίνετε,κρίνετε,κρίνετε,#LACUNA#,κρίνετε,κρίνετε,κρίνετε,κρίνετε,κρίνετε,κρίνετε,κρίνετε,,
κρίνεται,#LACUNA#,,κρίνεται,,,,#LACUNA#,κρίνεται,,,,,,,κρίνεται,κρίνεται
φοβούμενος,#LACUNA#,φοβούμενος,φοβούμενος,φοβούμενος,φοβούμενος,φοβούμενος,#LACUNA#,φοβούμενος,φοβούμενος,φοβούμενος,φοβούμενος,φοβούμενος,φοβούμενος,φοβούμενος,φοβούμενος,φοβούμενος
οὐδένα,#LACUNA#,οὐδένα,οὐδένα,οὐδένα,οὐδένα,οὐδένα,#LACUNA#,οὐδένα,οὐδένα,οὐδένα,οὐδένα,οὐδένα,οὐδένα,οὐδένα,οὐδένα,οὐδένα
κρίνει,#LACUNA#,κρίνῃ,κρίνει,κρίνει,κρίνει,κρίνει,#LACUNA#,κρίνει,κρίνει,κρίνῃ,κρίνῃ,κρίνῃ,κρίνει,κρίνῃ,κρίνει,κρίνει
ἐν,#LACUNA#,ἐν,ἐν,ἐν,ἐν,ἐν,#LACUNA#,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν
τῇ,#LACUNA#,τῇ,τῇ,τῇ,τῇ,τῇ,#LACUNA#,τῇ,τῇ,τῇ,τῇ,τῇ,τῇ,τῇ,τῇ,τῇ
ἐξετάσει,#LACUNA#,ἐξετάσει,ἐξετάσει,ἐξετάσει,ἐξετάσει,ἐξετάσει,ἐξετάσει,ἐξετάσει,ἐξετάσει,ἐξετάσει,ἐξετάσει,ἐξετάσει,ἐξετάσει,ἐξετάσει,ἐξετάσει,ἐξετάσει
τῶν,#LACUNA#,τῶν,τῶν,τῶν,τῶν,τῶν,τῶν,τῶν,τῶν,τῶν,τῶν,τῶν,τῶν,τῶν,τῶν,τῶν
βεβιωμένων,#LACUNA#,βεβιωμένων,βεβιωμένων,βεβιωμένων,βεβιωμένων,βεβιωμένων,βεβιωμένων,βεβιωμένων,βεβιωμένων,βεβιωμένων,βεβιωμένων,βεβιωμένων,βεβιωμένων,βεβιωμένων,βεβιωμένων,βεβιωμένων
ὡς,#LACUNA#,ὡς,ὡς,ὡς,ὡς,ὡς,ὡς,ὡς,ὡς,ὡς,ὡς,ὡς,ὡς,ὡς,ὡς,ὡς
φύλαξ,#LACUNA#,φύλαξ,φύλαξ,φύλαξ,φύλαξ,φύλαξ,φύλαξ,φύλαξ,φύλαξ,φύλαξ,φύλαξ,φύλαξ,φύλαξ,φύλαξ,φύλαξ,φύλαξ
τῆς,#LACUNA#,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς
ἐντολῆς,#LACUNA#,ἐντολῆς,ἐντολῆς,ἐντολῆς,ἐντολῆς,ἐντολῆς,ἐντολῆς,ἐντολῆς,ἐντολῆς,ἐντολῆς,ἐντολῆς,ἐντολῆς,ἐντολῆς,ἐντολῆς,ἐντολῆς,ἐντολῆς
οὐ,#LACUNA#,οὐ,οὐ,οὐ,οὐ,οὐ,οὐ,οὐ,οὐ,οὐ,οὐ,οὐ,οὐ,οὐ,οὐ,οὐ
κρίνεται·,#LACUNA#,κρίνεται·,κρίνεται·,κρίνεται·,κρίνεται·,κρίνεται·,κρίνεται·,κρίνεται·,κρίνεται·,κρίνεται·,κρίνεται·,κρίνεται·,κρίνεται·,κρίνεται·,κρίνεται·,κρίνεται·
εἰ,#LACUNA#,εἰ,εἰ,εἰ,εἰ,εἰ,εἰ,εἰ,εἰ,εἰ,εἰ,εἰ,εἰ,εἰ,εἰ,εἰ
μὴ,#LACUNA#,μὴ,μὴ,μὴ,μὴ,μὴ,μὴ,μὴ,μὴ,μὴ,μὴ,μὴ,μὴ,μὴ,μὴ,μὴ
τὸ,#LACUNA#,τὸ,τὸ,τὸ,τὸ,τὸ,τὸ,τὸ,τὸ,τὸ,τὸ,τὸ,τὸ,τὸ,τὸ,τὸ
γενέσθαι,#LACUNA#,γενέσθαι,γενέσθαι,γενέσθαι,γενέσθαι,γενέσθαι,γενέσθαι,γενέσθαι,γενέσθαι,γενέσθαι,γενέσθαι,γενέσθαι,γενέσθαι,γενέσθαι,γενέσθαι,γενέσθαι
"πιστόν,",#LACUNA#,"πιστόν,","πιστόν,","πιστόν,","πιστόν,","πιστόν,","πιστόν,","πιστόν,","πιστόν,","πιστόν,","πιστόν,","πιστόν,","πιστόν,","πιστόν,","πιστόν,","πιστόν,"
εἰκότως,#LACUNA#,εἰκότως,εἰκότως,εἰκότως,εἰκότως,εἰκότως,εἰκότως,εἰκότως,εἰκότως,εἰκότως,εἰκότως,εἰκότως,εἰκότως,εἰκότως,εἰκότως,εἰκότως
ὅταν,#LACUNA#,ὅταν,ὅταν,ὅταν,ὅταν,ὅταν,ὅταν,ὅταν,ὅταν,ὅταν,ὅταν,ὅταν,ὅταν,ὅταν,ὅταν,ὅταν
ἐν,#LACUNA#,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν
ἁμαρτίαις,#LACUNA#,ἁμαρτίαις,ἁμαρτίαις,ἁμαρτίαις,ἁμαρτίαις,ἁμαρτίαις,ἁμαρτίαις,ἁμαρτίαις,ἁμαρτίαις,ἁμαρτίαις,ἁμαρτίαις,ἁμαρτίαις,ἁμαρτίαις,ἁμαρτίαις,ἁμαρτίαις,ἁμαρτίαις
τίς,#LACUNA#,τίς,τίς,τίς,τίς,τίς,τίς,τίς,τίς,τίς,τίς,τίς,τίς,τίς,τίς,τίς
ὢν,#LACUNA#,ὢν,ὢν,ὢν,ὢν,ὢν,ὢν,ὢν,ὢν,ὢν,ὢν,ὢν,ὢν,ὢν,ὢν,ὢν
οἰκονομῆται,#LACUNA#,οἰκονομῆται,οἰκονομεῖται,οἰκονομεῖται,οἰκονομεῖται,οἰκονομεῖται,οἰκονομεῖται,οἰκονομεῖται,οἰκονομῆται,οἰκονομῆται,οἰκονομῆται,οἰκονομῆται,οἰκονομῆται,οἰκονομεῖται,οἰκονομεῖται,οἰκονομεῖται
ἐκ,#LACUNA#,ἐκ,ἐκ,ἐκ,ἐκ,ἐκ,ἐκ,ἐκ,ἐκ,ἐκ,ἐκ,ἐκ,ἐκ,ἐκ,ἐκ,ἐκ
τῆς,#LACUNA#,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς
προνοίας,#LACUNA#,προνοίας,προνοίας,προνοίας,προνοίας,προνοίας,προνοίας,προνοίας,προνοίας,προνοίας,προνοίας,προνοίας,προνοίας,προνοίας,προνοίας,προνοίας
ἐν,#LACUNA#,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν
"συμφοραῖς,",#LACUNA#,"συμφοραῖς,","συμφοραῖς,","συμφοραῖς,","συμφοραῖς,","συμφοραῖς,","συμφοραῖς,","συμφοραῖς,","συμφοραῖς,","συμφοραῖς,","συμφοραῖς,","συμφοραῖς,","συμφοραῖς,","συμφοραῖς,","συμφοραῖς,","συμφοραῖς,"
ἐν,#LACUNA#,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν
"ἀνάγκαις,",#LACUNA#,"ἀνάγκαις,","ἀνάγκαις,","ἀνάγκαις,","ἀνάγκαις,","ἀνάγκαις,","ἀνάγκαις,","ἀνάγκαις,","ἀνάγκαις,","ἀνάγκαις,","ἀνάγκαις,","ἀνάγκαις,","ἀνάγκαις,","ἀνάγκαις,","ἀνάγκαις,","ἀνάγκαις,"
ἐν,#LACUNA#,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν
νόσοις,#LACUNA#,νόσοις,νόσοις,νόσοις,νόσοις,νόσοις,νόσοις,νόσοις,νόσοις,νόσοις,νόσοις,νόσοις,νόσοις,νόσοις,νόσοις,νόσοις
ὡς,#LACUNA#,ὡς,ὡς,ὡς,ὡς,ὡς,ὡς,ὡς,ὡς,ὡς,,ὡς,ὡς,ὡς,ὡς,ὡς
οὐκ,#LACUNA#,οὐκ,οὐκ,οὐκ,οὐκ,οὐκ,οὐκ,οὐκ,οὐκ,οὐκ,,οὐκ,οὐκ,οὐκ,οὐκ,οὐκ
οἶδε,#LACUNA#,οἶδε,οἶδε,οἶδε,οἶδε,οἶδε,οἶδε,οἶδε,οἶδε,οἶδε,,οἶδε,οἶδε,οἶδε,οἶδε,οἶδε
γὰρ,#LACUNA#,γὰρ,γὰρ,γὰρ,γὰρ,γὰρ,γὰρ,γὰρ,γὰρ,γὰρ,γὰρ,γὰρ,γὰρ,γὰρ,γὰρ,γὰρ
διὰ,#LACUNA#,διὰ,διὰ,διὰ,διὰ,διὰ,διὰ,διὰ,διὰ,διὰ,διὰ,διὰ,διὰ,διὰ,διὰ,διὰ
τῶν,#LACUNA#,τῶν,τῶν,τῶν,τῶν,τῶν,τῶν,τῶν,τῶν,τῶν,τῶν,τῶν,τῶν,τῶν,τῶν,τῶν
τοιούτων,#LACUNA#,τοιούτων,τοιούτων,τοιούτων,τοιούτων,τοιούτων,τοιούτων,τοιούτων,τοιούτων,τοιούτων,τοιούτων,τοιούτων,τοιούτων,τοιούτων,τοιούτων,τοιούτων
καθαίρει,#LACUNA#,καθαίρει,καθαίρει,καθαίρει,καθαίρει,καθαίρει,καθαίρει,καθαίρει,καθαίρει,καθαίρει,καθαίρει,καθαίρει,καθαίρει,καθεαυτὸν,καθαίρει,καθαίρει
αὐτὸν,#LACUNA#,αὐτὸν,αὐτὸν,αὐτὸν,αὐτὸν,αὐτὸν,αὐτὸν,αὐτὸν,αὐτὸν,αὐτὸν,αὐτὸν,αὐτὸν,αὐτὸν,,αὐτὸν,αὐτὸν
ὁ,#LACUNA#,ὁ,ὁ,ὁ,ὁ,ὁ,ὁ,ὁ,ὁ,ὁ,ὁ,ὁ,ὁ,ὁ,ὁ,ὁ
θεός,#LACUNA#,θεός,θεός,θεός,θεός,θεός,θεός,θεός,θεός,θεός,θεός,θεός,θεός,θεός,θεός,θεός
οὖν,#LACUNA#,οὖν,οὖν,,,οὖν,,οὖν,,οὖν,οὖν,οὖν,οὖν,οὖν,οὖν,οὖν
τῷ,#LACUNA#,τῷ,τῷ,τῷ,τῷ,τῷ,τῷ,τῷ,τῶν,τῷ,τῷ,τῷ,τῷ,τῷ,τῷ,τῷ
ἐν,#LACUNA#,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν
ἀπιστεία,#LACUNA#,ἀπιστίᾳ,ἀπιστεία,ἀπιστίᾳ,ἀπιστίᾳ,ἀπιστίᾳ,ἀπιστίᾳ,ἀπιστίᾳ,ἀπιστίᾳ,ἀπιστεία,ἀπιστεία,ἀπιστίᾳ,ἀπιστίᾳ,ἀπιστίᾳ,ἀπιστίᾳ,ἀπιστίᾳ
τὸν,#LACUNA#,τὸν,τὸν,τὸν,τὸν,τὸν,τὸν,τὸν,τὸν,τὸν,τὸν,τὸν,τὸν,τὸν,τὸν,τὸν
βίον,#LACUNA#,βίον,βίον,βίον,βίον,βίον,βίον,βίον,βίον,βίον,βίον,βίον,βίον,βίον,βίον,βίον
κατακλείσαντι,#LACUNA#,κατακλείσαντι,κατακλείσαντι,κατακλύσαντι,καταλύσαντι,καταλύσαντι,κατακλύσαντι,κατακλείσαντι,κατακλείσαντι,κατακλείσαντι,κατακλείσαντι,καταλύσαντι,κατακλείσαντι,κατακλείσαντι,κατακλείσαντι,κατακλείσαντι
οὔτε,#LACUNA#,οὔτε,οὔτε,οὔτε,οὔτε,οὔτε,οὔτε,οὔτε,οὔτε,οὔτε,οὔτε,οὔτε,οὔτε,οὔτε,οὔτε,οὔτε
ἐνταῦθα,#LACUNA#,ἐνταῦθα,ἐνταῦθα,ἐνταῦθα,ἐνταῦθα,ἐνταῦθα,ἐνταῦθα,ἐνταῦθα,ἐνταῦθα,ἐνταῦθα,ἐνταῦθα,ἐνταῦθα,ἐνταῦθα,ἐνταῦθα,ἐνταῦθα,ἐνταῦθα
οὔτε,#LACUNA#,οὔτε,οὔτε,οὔτε,οὔτε,οὔτε,οὔτε,οὔτε,οὔτε,οὔτε,οὔτε,οὔτε,οὔτε,οὔτε,οὔτε,οὔτε
ἐν,#LACUNA#,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν
τῷ,#LACUNA#,τῷ,τῷ,τῷ,τῷ,τῷ,τῷ,τῷ,τῷ,τῷ,τῷ,τῷ,τῷ,τῷ,τῷ,τῷ
μέλλοντι,#LACUNA#,μέλλοντι,μέλλοντι,μέλλοντι,μέλλοντι,μέλλοντι,μέλλοντι,μέλλοντι,μέλλοντι,μέλλοντι,μέλλοντι,μέλλοντι,μέλλοντι,μέλλοντι,μέλλοντι,μέλλοντι
ἀφεθήσεται,#LACUNA#,ἀφεθήσεται,ἀφεθήσεται,ἀφεθήσεται,ἀφεθήσεται,ἀφεθήσεται,ἀφεθήσεται,ἀφεθήσεται,ἀφεθήσεται,ἀφεθήσεται,ἀφεθήσεται,ἀφεθήσεται,ἀφεθήσεται,ἀφεθήσεται,ἀφεθήσεται,ἀφεθήσεται
τῆς,#LACUNA#,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς
ἀπιστίας,#LACUNA#,ἀπιστίας,ἀπιστίας,ἀπιστίας,ἀπιστίας,ἀπιστίας,ἀπιστίας,ἀπιστίας,ἀπιστίας,ἀπιστίας,ἀπιστίας,ἀπιστίας,ἀπιστίας,ἀπιστίας,ἀπιστίας,ἀπιστίας
καὶ,#LACUNA#,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ
ἀθεΐας,#LACUNA#,ἀθεΐας,ἀθεΐας,ἀθεΐας,ἀθεΐας,ἀθεΐας,ἀθεΐας,ἀθεΐας,ἀθεΐας,ἀθεΐας,ἀθεΐας,ἀθεΐας,ἀθεΐας,ἀθεΐας,ἀθεΐας,ἀθεΐας
ἡ,#LACUNA#,ἡ,ἡ,ἡ,ἡ,ἡ,ἡ,ἡ,ἡ,ἡ,ἡ,ἡ,ἡ,ἡ,ἡ,ἡ
ἁμαρτία.,#LACUNA#,ἁμαρτία.,ἁμαρτία.,ἁμαρτία.,ἁμαρτία.,ἁμαρτία.,ἁμαρτία.,ἁμαρτία.,ἁμαρτία.,ἁμαρτία.,ἁμαρτία.,ἁμαρτία.,ἁμαρτία.,ἁμαρτία.,ἁμαρτία.,ἁμαρτία.
,#LACUNA#,Ἰσιδώρου,Ἰσιδώρου,Ἰσιδώρου,Ἰσιδώρου,,,Ἰσιδώρου,#LACUNA#,Ἰσιδώρου,Ἰσιδώρου,νείλου,νείλου,Ἰσιδώρου,,
,#LACUNA#,Πηλουσίου,πηλουσιώτ(ου),Πηλουσίου,Πηλουσίου,,,Πηλουσίου,#LACUNA#,πηλουσιώτ(ου),πηλουσιώτ(ου),τοῦ,τοῦ,πηλουσιώτ(ου),,
Γρηγορίου,#LACUNA#,Γρηγορίου,Γρηγορίου,Γρηγορίου,Γρηγορίου,Γρηγορίου,Γρηγορίου,Γρηγορίου,#LACUNA#,Γρηγορίου,Γρηγορίου,,,Γρηγορίου,Γρηγορίου,Γρηγορίου
Νύσης,#LACUNA#,Νύσης,Νύσης,Νύσης,Νύσης,Νύσης,Νύσης,Νύσης,#LACUNA#,Νύσης,Νύσης,νύσσης,νύσσης,Νύσης,Νύσης,Νύσης
Ἤκουσά,#LACUNA#,Ἤκουσά,Ἤκουσά,Ἤκουσά,Ἤκουσά,Ἤκουσά,Ἤκουσά,Ἤκουσά,#LACUNA#,Ἤκουσά,Ἤκουσά,Ἤκουσά,Ἤκουσά,Ἤκουσά,Ἤκουσά,Ἤκουσά
που,#LACUNA#,που,που,που,που,που,που,που,#LACUNA#,που,που,που,που,που,που,που
τῆς,#LACUNA#,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς,#LACUNA#,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς
ἁγίας,#LACUNA#,ἁγίας,ἁγίας,ἁγίας,ἁγίας,ἁγίας,ἁγίας,ἁγίας,#LACUNA#,ἁγίας,ἁγίας,ἁγίας,ἁγίας,ἁγίας,ἁγίας,ἁγίας
γραφῆς,#LACUNA#,γραφῆς,γραφῆς,γραφῆς,γραφῆς,γραφῆς,γραφῆς,γραφῆς,#LACUNA#,γραφῆς,γραφῆς,γραφῆς,γραφῆς,γραφῆς,γραφῆς,γραφῆς
κατακρινούσης,#LACUNA#,κατακρινούσης,κατακρινούσης,κατακρινούσης,κατακρινούσης,κατακρινούσης,κατακρινούσης,κατακρινούσης,#LACUNA#,κατακρινούσης,κατακρινούσης,κατακρινούσης,κατακινούσης,κατακρινούσης,κατακρινούσης,κατακρινούσης
"ἐκείνους,",#LACUNA#,"ἐκείνους,","ἐκείνους,","ἐκείνους,","ἐκείνους,","ἐκείνους,","ἐκείνους,","ἐκείνους,",#LACUNA#,"ἐκείνους,","ἐκείνους,","ἐκείνους,","ἐκείνους,","ἐκείνους,","ἐκείνους,","ἐκείνους,"
οἳ,#LACUNA#,οἳ,οἳ,οἳ,οἳ,οἳ,οἳ,οἳ,#LACUNA#,οἳ,οἳ,οἳ,οἳ,οἳ,οἳ,οἳ
κατὰ,#LACUNA#,κατὰ,κατὰ,κατὰ,κατὰ,κατὰ,κατὰ,κατὰ,#LACUNA#,κατὰ,κατὰ,κατὰ,κατὰ,κατὰ,κατὰ,κατὰ
τῆς,#LACUNA#,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς,τῆς,#LACUNA#,τῆς,τῆς,,,τῆς,τῆς,τῆς
τοῦ,#LACUNA#,τοῦ,τοῦ,τοῦ,τοῦ,τοῦ,τοῦ,τοῦ,#LACUNA#,τοῦ,τοῦ,τοῦ,τοῦ,τοῦ,τοῦ,τοῦ
θεοῦ,#LACUNA#,θεοῦ,θεοῦ,θεοῦ,θεοῦ,θεοῦ,θεοῦ,θεοῦ,#LACUNA#,θεοῦ,θεοῦ,θεοῦ,θεοῦ,θεοῦ,θεοῦ,θεοῦ
βλασφημίας,#LACUNA#,βλασφημίας,βλασφημίας,βλασφημίας,βλασφημίας,βλασφημίας,βλασφημίας,βλασφημίας,#LACUNA#,βλασφημίας,βλασφημίας,βλασφημίας,βλασφημίας,βλασφημίας,βλασφημίας,βλασφημίας
αἴτιοι,#LACUNA#,αἴτιοι,αἴτιοι,αἴτιοι,αἴτιοι,αἴτιοι,αἴτιοι,αἴτιοι,#LACUNA#,αἴτιοι,αἴτιοι,αἴτιοι,αἴτιοι,αἴτιοι,αἴτιοι,αἴτιοι
γίνονται.,#LACUNA#,γίνονται.,γίνονται.,γίνονται.,γίνονται.,γίνονται.,γίνονται.,γίνονται.,#LACUNA#,γίνονται.,γίνονται.,γίνονται.,γίνονται.,γίνονται.,γίνονται.,γίνονται.
Οὐαὶ,#LACUNA#,Οὐαὶ,Οὐαὶ,Οὐαὶ,Οὐαὶ,Οὐαὶ,Οὐαὶ,Οὐαὶ,#LACUNA#,Οὐαὶ,Οὐαὶ,Οὐαὶ,Οὐαὶ,Οὐαὶ,Οὐαὶ,Οὐαὶ
γὰρ,#LACUNA#,γὰρ,γὰρ,γὰρ,γὰρ,γὰρ,γὰρ,γὰρ,#LACUNA#,γὰρ,γὰρ,γὰρ,γὰρ,γὰρ,γὰρ,γὰρ
φησὶν,#LACUNA#,φησὶν,φησὶν,φησὶν,φησὶν,,φησὶν,,#LACUNA#,φησὶν,φησὶν,φησὶν,φησὶν,φησὶν,φησὶν,φησὶν
δι᾽,#LACUNA#,δι᾽,δι᾽,δι᾽,δι᾽,δι᾽,δι᾽,δι᾽,#LACUNA#,δι᾽,δι᾽,δι᾽,δι᾽,δι᾽,δι᾽,δι᾽
οὓς,#LACUNA#,οὓς,οὓς,οὓς,οὓς,οὓς,οὓς,οὓς,#LACUNA#,οὓς,οὓς,οὓς,οὓς,οὓς,οὓς,οὓς
τὸ,τὸ,τὸ,τὸ,τὸ,τὸ,τὸ,τὸ,τὸ,#LACUNA#,τὸ,τὸ,τὸ,τὸ,τὸ,τὸ,τὸ
