A,B,C,D,E,F,G,H,K,P,Q,S,T
διηνεκῶς,διηνεκῶς,διηνεκῶς,διηνεκῶς,διηνεκῶς,διηνεκῶς,διηνεκῶς,διηνεκῶς,διηνεκῶς,διηνεκῶς,διηνεκῶς,διηνεκῶς,διηνεκῶς
τῇ,τῇ,τῇ,τῇ,τῇ,τῇ,τῇ,τῇ,τῇ,τῇ,τῇ,τῇ,τῇ
"προσευχῇ,","προσευχῇ,","προσευχῇ,","προσευχῇ,","προσευχῇ,","προσευχῇ,","προσευχῇ,","προσευχῇ,","προσευχῇ,","προσευχῇ,","προσευχῇ,","προσευχῇ,","προσευχῇ,"
ἢ,ἢ,ἢ,ἢ,ἢ,ἢ,ἢ,ἢ,ἢ,ἢ,ἢ,ἢ,ἢ
διὰ,διὰ,διὰ,διὰ,διὰ,διὰ,διὰ,διὰ,διὰ,διὰ,διὰ,διὰ,διὰ
τοῦ,τοῦ,τοῦ,τοῦ,τοῦ,τοῦ,τοῦ,τοῦ,τοῦ,τοῦ,τοῦ,τοῦ,τοῦ
τιμᾶν,τιμᾶν,τιμᾶν,τιμᾶν,τιμᾶν,τιμᾶν,τιμᾶν,τιμᾶν,τιμᾶν,τιμᾶν,τιμᾶν,τιμᾶν,τιμᾶν
τὰς,τὰς,τὰς,τὰς,τὰς,τὰς,τὰς,τὰς,τὰς,τὰς,τὰς,τὰς,τὰς
ἑορτὰς,ἑορτὰς,ἑορτὰς,ἑορτὰς,ἑορτὰς,ἑορτὰς,ἑορτὰς,ἑορτὰς,ἑορτὰς,ἑορτὰς,ἑορτὰς,ἑορτὰς,ἑορτὰς
πάρεργον,πάρεργον,πάρεργον,πάρεργον,πάρεργον,πάρεργον,πάρεργον,παρανάλωμα,πάρεργον,πάρεργον,πάρεργον,πάρεργον,πάρεργον
γίνεσθαι,γίνεσθαι,γίνεσθαι,γίνεσθαι,γίνεσθαι,γίνεσθαι,γίνεσθαι,γίνεσθαι,γίνεσθαι,γίνεσθαι,γίνεσθαι,γίνεσθαι,γίνεσθαι
τὸν,τῶν,τῶν,τῶν,τῶν,τῶν,τῶν,τῶν,τῶν,τῶν,τῶν,τῶν,τῶν
ἐχθρόν,ἐχθρῶν,ἐχθρῶν,ἐχθρῶν,ἐχθρῶν,ἐχθρῶν,ἐχθρῶν,ἐχθρῶν,ἐχθρῶν,ἐχθρῶν,ἐχθρῶν,ἐχθρῶν,ἐχθρῶν
Φεῦγε,Φεῦγε,Φεῦγε,Φεῦγε,Φεῦγε,Φεῦγε,Φεῦγε,Φεῦγε,Φεῦγε,Φεῦγε,Φεῦγε,Φεῦγε,Φεῦγε
συντυχίας,συντυχίας,συντυχίας,συντυχίας,συντυχίας,συντυχίας,συντυχίας,συντυχίας,συντυχίας,συντυχίας,συντυχίας,συντυχίας,συντυχίας
γυναικῶν,γυναικῶν,γυναικῶν,γυναικῶν,γυναικῶν,γυναικῶν,γυναικῶν,γυναικῶν,γυναικῶν,γυναικῶν,γυναικῶν,γυναικῶν,γυναικῶν
ἐὰν,ἐὰν,ἐὰν,ἐὰν,ἐὰν,ἐὰν,ἐὰν,ἐὰν,ἐὰν,ἐὰν,ἐὰν,ἐὰν,ἐὰν
θέλῃς,θέλῃς,θέλῃς,θέλῃς,θέλῃς,θέλῃς,θέλῃς,θέλῃς,θέλῃς,θέλῃς,θέλῃς,θέλῃς,θέλῃς
"σωφρονεῖν,","σωφρονεῖν,","σωφρονεῖν,","σωφρονεῖν,","σωφρονεῖν,","σωφρονεῖν,","σωφρονεῖν,","σωφρονεῖν,","σωφρονεῖν,","σωφρονεῖν,","σωφρονεῖν,","σωφρονεῖν,","σωφρονεῖν,"
καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ
μὴ,μὴ,μὴ,μὴ,μὴ,μὴ,μὴ,μὴ,μὴ,μὴ,μὴ,μηδαμῶς,μὴ
δῷς,δῷς,δῷς,δῷς,δῷς,δῷς,δῷς,δῷς,δῷς,δῷς,δῷς,,δῷς
αὐταῖς,αὐταῖς,αὐταῖς,αὐταῖς,αὐταῖς,αὐταῖς,αὐταῖς,αὐταῖς,αὐταῖς,αὐτῆς,αὐταῖς,αὐταῖς,αὐταῖς
παρρησίαν,παρρησίαν,παρρησίαν,παρρησίαν,παρρησίαν,παρρησίαν,παρρησίαν,παρρησίαν,παρρησίαν,παρρησίαν,παρρησίαν,παρρησίαν,παρρησίαν
θαρρῆσαι,θαρρῆσαι,θαρρῆσαι,θαρρῆσαι,θαρρῆσαι,θαρρῆσαι,θαρρῆσαι,θαρρῆσαι,θαρρῆσαι,θαρρῆσαι,θαρρῆσαι,θαρρῆσαι,θαρρῆσαι
σοί,σοί,σοί,σοί,σοί,σοί,σοί,σοί,σοί,σοί,σοί,σοί,σοί
ποτε.,ποτε.,ποτε.,ποτε.,ποτε.,ποτε.,ποτε.,ποτε.,ποτε.,ποτε.,ποτε.,ποτε.,ποτε.
Θάλλει,θάλπει,Θάλλει,Θάλλει,Θάλλει,Θάλλει,Θάλλει,Θάλλει,Θάλλει,θάλπει,Θάλλει,θάλπει,Θάλλει
βοτάνη,,βοτάνη,βοτάνη,βοτάνη,βοτάνη,βοτάνη,βοτάνη,βοτάνη,,βοτάνη,,βοτάνη
ἑστῶσα,ἑστῶσα,ἑστῶσα,ἑστῶσα,ἑστῶσα,ἑστῶσα,ἑστῶσα,ἰστῶσα,ἑστῶσα,ἑστῶσα,ἑστῶσα,ἑστῶσα,ἐστῶσα
,βοτάνη,,,,,,,,βοτάνη,,βοτάνη,
παρ᾽,παρ᾽,παρ᾽,παρ᾽,παρ᾽,παρ᾽,παρ᾽,παρ᾽,παρ᾽,παρ᾽,παρ᾽,παρ᾽,παρ᾽
"ὕδατι,","ὕδατι,","ὕδατι,","ὕδατι,","ὕδατι,","ὕδατι,","ὕδατι,","ὕδατι,","ὕδατι,","ὕδατι,","ὕδατι,","ὕδατι,","ὕδατι,"
καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ,καὶ
πάθος,πάθος,πάθος,πάθος,πάθος,πάθος,πάθος,πάθος,πάθος,πάθος,πάθος,πάθος,πάθος
"ἀκολασίας,","ἀκολασίας,","ἀκολασίας,","ἀκολασίας,","ἀκολασίας,","ἀκολασίας,","ἀκολασίας,","ἀκολασίας,","ἀκολασίας,","ἀκολασίας,","ἀκολασίας,","ἀκολασίας,","ἀκολασίας,"
ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν,ἐν
συντυχίαις,συντυχίαις,συντυχίαις,συντυχίαις,συντυχίαις,συντυχίαις,συντυχίαις,συντυχίαις,συντυχίαις,συντυχίαις,συντυχίαις,συντυχίαις,συντυχίαις
γυναικῶν.,γυναικῶν.,γυναικῶν.,γυναικῶν.,γυναικῶν.,γυναικῶν.,γυναικῶν.,γυναικῶν.,γυναικῶν.,γυναικῶν.,γυναικῶν.,γυναικῶν.,γυναικῶν.
